id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2015-12-29,"{""address"": ""Street 2, City 3"", ""phone"": ""2819471535"", ""email"": ""email_179@example.com""}",Marketing,4999.0
2,Name_436,62.0,50000,,"{""address"": ""Street 89, City 29"", ""phone"": ""7137041844"", ""email"": ""email_730@example.com""}",Marketing,2639.0
3,Name_861,61.0,60000,2015-12-21,"{""address"": ""Street 23, City 8"", ""phone"": ""3138442096"", ""email"": ""email_951@example.com""}",HR,1943.0
4,Name_271,36.0,70000,2023-11-15,"{""address"": ""Street 54, City 46"", ""phone"": ""3638319879"", ""email"": ""email_849@example.com""}",,5067.0
5,Name_107,78.0,60000,2025-01-03,"{""address"": ""Street 15, City 34"", ""phone"": ""3947779980"", ""email"": ""email_36@example.com""}",IT,6278.0
6,Name_72,35.0,,2018-07-30,"{""address"": ""Street 30, City 32"", ""phone"": ""1029588745"", ""email"": ""email_141@example.com""}",IT,3671.0
7,Name_701,73.0,60000,2020-08-03,"{""address"": ""Street 2, City 8"", ""phone"": ""6546605554"", ""email"": ""email_925@example.com""}",Finance,7025.0
8,Name_21,18.0,60000,2016-09-09,"{""address"": ""Street 78, City 33"", ""phone"": ""7351520278"", ""email"": ""email_187@example.com""}",IT,2108.0
9,Name_615,42.0,50000,2019-10-01,"{""address"": ""Street 16, City 44"", ""phone"": ""2878439000"", ""email"": ""email_349@example.com""}",IT,5479.0
10,Name_122,44.0,50000,2018-08-31,"{""address"": ""Street 51, City 31"", ""phone"": ""7600891144"", ""email"": ""email_736@example.com""}",HR,9604.0
11,Name_467,24.0,70000,2018-09-18,"{""address"": ""Street 10, City 30"", ""phone"": ""6128424819"", ""email"": ""email_256@example.com""}",Finance,2185.0
12,Name_215,61.0,,2017-04-11,"{""address"": ""Street 80, City 13"", ""phone"": ""3045634708"", ""email"": ""email_938@example.com""}",IT,7680.0
13,Name_331,59.0,70000,,"{""address"": ""Street 84, City 32"", ""phone"": ""8037618582"", ""email"": ""email_183@example.com""}",IT,9025.0
14,Name_459,46.0,,2023-05-09,"{""address"": ""Street 57, City 22"", ""phone"": ""9958435240"", ""email"": ""email_807@example.com""}",,3114.0
15,Name_88,48.0,,2021-11-08,,IT,4210.0
16,Name_373,61.0,,2017-10-26,"{""address"": ""Street 5, City 4"", ""phone"": ""8299900400"", ""email"": ""email_767@example.com""}",HR,
17,Name_100,60.0,60000,2021-12-25,"{""address"": ""Street 79, City 19"", ""phone"": ""6132276159"", ""email"": ""email_36@example.com""}",IT,7769.0
18,Name_872,53.0,60000,2017-05-15,"{""address"": ""Street 50, City 1"", ""phone"": ""4064658450"", ""email"": ""email_66@example.com""}",IT,7296.0
19,Name_664,36.0,50000,2023-10-10,"{""address"": ""Street 30, City 42"", ""phone"": ""4097832324"", ""email"": ""email_1@example.com""}",Marketing,4710.0
20,Name_131,23.0,70000,2023-05-07,"{""address"": ""Street 18, City 39"", ""phone"": ""7068342868"", ""email"": ""email_906@example.com""}",IT,5179.0
21,Name_662,42.0,60000,2017-07-01,"{""address"": ""Street 96, City 4"", ""phone"": ""7815494859"", ""email"": ""email_802@example.com""}",Finance,9937.0
22,Name_309,48.0,70000,2016-08-19,"{""address"": ""Street 28, City 4"", ""phone"": ""8934457315"", ""email"": ""email_182@example.com""}",Marketing,8770.0
23,Name_770,26.0,60000,2022-06-09,"{""address"": ""Street 24, City 27"", ""phone"": ""2324576606"", ""email"": ""email_726@example.com""}",Finance,5833.0
24,Name_344,37.0,70000,2018-04-17,"{""address"": ""Street 67, City 18"", ""phone"": ""8092387022"", ""email"": ""email_140@example.com""}",Finance,3472.0
25,Name_492,27.0,,2022-04-04,"{""address"": ""Street 14, City 38"", ""phone"": ""7106613597"", ""email"": ""email_331@example.com""}",HR,
26,Name_414,54.0,,2019-03-12,"{""address"": ""Street 13, City 40"", ""phone"": ""3427535714"", ""email"": ""email_724@example.com""}",IT,
27,Name_806,44.0,60000,2022-02-26,"{""address"": ""Street 23, City 2"", ""phone"": ""2828245811"", ""email"": ""email_331@example.com""}",Finance,5565.0
28,Name_386,30.0,70000,2015-08-22,"{""address"": ""Street 96, City 17"", ""phone"": ""9827772654"", ""email"": ""email_347@example.com""}",IT,6250.0
29,Name_192,58.0,70000,2022-06-04,"{""address"": ""Street 61, City 35"", ""phone"": ""3460512360"", ""email"": ""email_318@example.com""}",IT,3147.0
30,Name_956,19.0,,2017-07-25,"{""address"": ""Street 63, City 27"", ""phone"": ""3611176400"", ""email"": ""email_285@example.com""}",HR,2408.0
31,Name_277,67.0,70000,2023-05-03,"{""address"": ""Street 21, City 25"", ""phone"": ""3358302156"", ""email"": ""email_730@example.com""}",HR,3140.0
32,Name_161,38.0,50000,2023-06-28,"{""address"": ""Street 60, City 47"", ""phone"": ""9981140593"", ""email"": ""email_709@example.com""}",Finance,
33,Name_460,50.0,70000,2016-09-04,"{""address"": ""Street 32, City 37"", ""phone"": ""8749642276"", ""email"": ""email_155@example.com""}",Finance,2559.0
34,Name_314,41.0,,2019-09-26,"{""address"": ""Street 70, City 33"", ""phone"": ""2344716137"", ""email"": ""email_789@example.com""}",Marketing,6697.0
35,Name_22,70.0,50000,2021-11-25,"{""address"": ""Street 82, City 48"", ""phone"": ""9009641623"", ""email"": ""email_905@example.com""}",IT,7816.0
36,Name_253,61.0,50000,2025-03-05,"{""address"": ""Street 7, City 20"", ""phone"": ""1353221764"", ""email"": ""email_645@example.com""}",IT,
37,Name_748,59.0,70000,2020-08-02,"{""address"": ""Street 66, City 46"", ""phone"": ""5169158873"", ""email"": ""email_148@example.com""}",HR,6384.0
38,Name_857,51.0,,2019-05-30,"{""address"": ""Street 21, City 6"", ""phone"": ""1111186067"", ""email"": ""email_281@example.com""}",HR,2673.0
39,Name_561,77.0,,2020-09-11,"{""address"": ""Street 76, City 10"", ""phone"": ""5819824355"", ""email"": ""email_225@example.com""}",Finance,5165.0
40,Name_475,26.0,,2023-12-24,"{""address"": ""Street 93, City 43"", ""phone"": ""7075248461"", ""email"": ""email_562@example.com""}",Marketing,6706.0
41,Name_59,19.0,50000,2021-01-17,"{""address"": ""Street 82, City 4"", ""phone"": ""1359830394"", ""email"": ""email_689@example.com""}",Marketing,5899.0
42,Name_511,72.0,,2015-10-26,"{""address"": ""Street 75, City 4"", ""phone"": ""5780156990"", ""email"": ""email_186@example.com""}",HR,2038.0
43,Name_682,73.0,50000,2022-05-27,,HR,6834.0
44,Name_476,47.0,,2017-07-29,"{""address"": ""Street 57, City 2"", ""phone"": ""8939386484"", ""email"": ""email_377@example.com""}",Marketing,1190.0
45,Name_700,,60000,,"{""address"": ""Street 82, City 9"", ""phone"": ""1060300580"", ""email"": ""email_611@example.com""}",Marketing,3987.0
46,Name_976,63.0,70000,2020-02-01,"{""address"": ""Street 16, City 20"", ""phone"": ""9592688034"", ""email"": ""email_838@example.com""}",Finance,9425.0
47,Name_783,28.0,,2018-11-25,"{""address"": ""Street 20, City 8"", ""phone"": ""6534386102"", ""email"": ""email_690@example.com""}",Marketing,7783.0
48,Name_190,72.0,50000,2020-03-01,"{""address"": ""Street 71, City 25"", ""phone"": ""1075190671"", ""email"": ""email_159@example.com""}",IT,9486.0
49,Name_958,60.0,70000,2020-08-16,"{""address"": ""Street 57, City 33"", ""phone"": ""7951836483"", ""email"": ""email_507@example.com""}",Marketing,3255.0
50,Name_687,34.0,50000,2023-08-19,,,5106.0
51,Name_958,53.0,70000,2019-12-16,"{""address"": ""Street 80, City 12"", ""phone"": ""8178381469"", ""email"": ""email_527@example.com""}",Marketing,3879.0
52,Name_563,30.0,50000,2017-05-25,"{""address"": ""Street 33, City 32"", ""phone"": ""9865591807"", ""email"": ""email_698@example.com""}",HR,9895.0
53,Name_876,24.0,,2017-03-15,"{""address"": ""Street 81, City 50"", ""phone"": ""8767599654"", ""email"": ""email_740@example.com""}",HR,3143.0
54,Name_567,33.0,60000,2025-05-22,"{""address"": ""Street 57, City 23"", ""phone"": ""8055265033"", ""email"": ""email_388@example.com""}",,2679.0
55,Name_244,50.0,60000,,"{""address"": ""Street 48, City 11"", ""phone"": ""4033918557"", ""email"": ""email_828@example.com""}",IT,3245.0
56,Name_832,62.0,60000,2018-10-05,"{""address"": ""Street 73, City 30"", ""phone"": ""7252742369"", ""email"": ""email_720@example.com""}",Marketing,4996.0
57,Name_505,18.0,,2022-08-29,"{""address"": ""Street 98, City 14"", ""phone"": ""5339277242"", ""email"": ""email_665@example.com""}",Marketing,9627.0
58,Name_131,28.0,70000,2023-04-11,"{""address"": ""Street 22, City 33"", ""phone"": ""9400671041"", ""email"": ""email_365@example.com""}",,4503.0
59,Name_485,23.0,,2023-06-29,"{""address"": ""Street 57, City 37"", ""phone"": ""7520011140"", ""email"": ""email_957@example.com""}",Finance,2294.0
60,Name_819,37.0,,2024-05-12,"{""address"": ""Street 86, City 22"", ""phone"": ""5643787495"", ""email"": ""email_366@example.com""}",Finance,4774.0
61,Name_647,52.0,50000,2021-03-03,"{""address"": ""Street 97, City 19"", ""phone"": ""6104605825"", ""email"": ""email_856@example.com""}",IT,4878.0
62,Name_21,61.0,60000,2017-11-02,"{""address"": ""Street 26, City 28"", ""phone"": ""4264969053"", ""email"": ""email_293@example.com""}",Marketing,3326.0
63,Name_841,54.0,50000,2017-12-21,,Marketing,4202.0
64,Name_167,58.0,70000,2018-04-25,"{""address"": ""Street 12, City 19"", ""phone"": ""7539099144"", ""email"": ""email_390@example.com""}",Marketing,1475.0
65,Name_274,43.0,60000,,"{""address"": ""Street 9, City 46"", ""phone"": ""2555547274"", ""email"": ""email_825@example.com""}",HR,9903.0
66,Name_388,75.0,50000,2024-07-16,"{""address"": ""Street 3, City 26"", ""phone"": ""8078540843"", ""email"": ""email_628@example.com""}",Finance,7653.0
67,Name_601,29.0,70000,2018-04-17,"{""address"": ""Street 57, City 49"", ""phone"": ""1375446000"", ""email"": ""email_578@example.com""}",,5986.0
68,Name_316,79.0,60000,2024-09-30,"{""address"": ""Street 23, City 37"", ""phone"": ""4669335137"", ""email"": ""email_149@example.com""}",HR,8186.0
69,Name_14,47.0,,2021-07-07,"{""address"": ""Street 68, City 38"", ""phone"": ""2973321213"", ""email"": ""email_802@example.com""}",HR,8485.0
70,Name_242,45.0,70000,2023-10-28,"{""address"": ""Street 33, City 19"", ""phone"": ""1958167964"", ""email"": ""email_759@example.com""}",Finance,8219.0
71,Name_777,44.0,,2024-07-24,"{""address"": ""Street 15, City 36"", ""phone"": ""8873436427"", ""email"": ""email_64@example.com""}",Marketing,3846.0
72,Name_346,59.0,70000,2015-08-25,"{""address"": ""Street 59, City 28"", ""phone"": ""5178941229"", ""email"": ""email_366@example.com""}",IT,9997.0
73,Name_565,36.0,60000,2023-09-02,"{""address"": ""Street 25, City 18"", ""phone"": ""7585986957"", ""email"": ""email_812@example.com""}",,4182.0
74,Name_898,22.0,50000,2023-02-28,"{""address"": ""Street 47, City 23"", ""phone"": ""3291544738"", ""email"": ""email_703@example.com""}",Finance,2592.0
75,Name_340,75.0,50000,,"{""address"": ""Street 18, City 49"", ""phone"": ""4694161802"", ""email"": ""email_582@example.com""}",IT,6865.0
76,Name_92,22.0,50000,2016-11-10,"{""address"": ""Street 100, City 37"", ""phone"": ""5321767072"", ""email"": ""email_716@example.com""}",Finance,6971.0
77,Name_367,58.0,50000,2019-11-21,"{""address"": ""Street 21, City 23"", ""phone"": ""7031515455"", ""email"": ""email_652@example.com""}",Finance,3716.0
78,Name_956,44.0,70000,2023-01-11,"{""address"": ""Street 1, City 8"", ""phone"": ""4688794041"", ""email"": ""email_239@example.com""}",Finance,4583.0
79,Name_455,45.0,50000,2015-12-17,"{""address"": ""Street 9, City 27"", ""phone"": ""1111261925"", ""email"": ""email_4@example.com""}",Finance,5890.0
80,Name_428,43.0,50000,2019-07-10,"{""address"": ""Street 39, City 36"", ""phone"": ""2489037638"", ""email"": ""email_563@example.com""}",Marketing,1166.0
81,Name_509,44.0,70000,2024-10-30,"{""address"": ""Street 88, City 40"", ""phone"": ""6866642518"", ""email"": ""email_922@example.com""}",HR,5816.0
82,Name_776,69.0,70000,2020-11-06,"{""address"": ""Street 68, City 4"", ""phone"": ""3754154381"", ""email"": ""email_765@example.com""}",Finance,9752.0
83,Name_943,66.0,60000,2019-03-14,"{""address"": ""Street 90, City 49"", ""phone"": ""1694542544"", ""email"": ""email_384@example.com""}",IT,2513.0
84,Name_35,59.0,70000,2020-10-26,"{""address"": ""Street 25, City 15"", ""phone"": ""8788635775"", ""email"": ""email_729@example.com""}",IT,6490.0
85,Name_206,38.0,,,"{""address"": ""Street 49, City 10"", ""phone"": ""3161775561"", ""email"": ""email_106@example.com""}",IT,4354.0
86,Name_81,18.0,60000,2018-08-09,"{""address"": ""Street 43, City 23"", ""phone"": ""5607863384"", ""email"": ""email_963@example.com""}",HR,
87,Name_932,71.0,60000,2019-07-15,"{""address"": ""Street 34, City 37"", ""phone"": ""2308662843"", ""email"": ""email_506@example.com""}",HR,9782.0
88,Name_562,45.0,50000,2019-01-04,"{""address"": ""Street 34, City 30"", ""phone"": ""1854184146"", ""email"": ""email_562@example.com""}",IT,2633.0
89,Name_872,65.0,50000,2024-09-22,"{""address"": ""Street 26, City 29"", ""phone"": ""3054839711"", ""email"": ""email_222@example.com""}",Marketing,6093.0
90,Name_388,75.0,,2016-03-01,"{""address"": ""Street 29, City 44"", ""phone"": ""4549930021"", ""email"": ""email_410@example.com""}",HR,5256.0
91,Name_2,75.0,50000,2015-10-04,"{""address"": ""Street 8, City 17"", ""phone"": ""9624359107"", ""email"": ""email_67@example.com""}",HR,
92,Name_390,32.0,70000,2020-10-02,"{""address"": ""Street 28, City 23"", ""phone"": ""6976205181"", ""email"": ""email_338@example.com""}",Marketing,9001.0
