id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2024-09-07,Marketing,4319.0,"Street 50, City 39",8702681805,email_742@example.com
2,Name_436,62.0,50000.0,2021-09-09,Marketing,4661.0,"Street 79, City 37",8212977467,email_486@example.com
3,Name_861,61.0,60000.0,2018-08-12,HR,1975.0,"Street 77, City 3",9846890488,email_727@example.com
4,Name_271,36.0,70000.0,,Unknown,4327.0,"Street 91, City 19",4217678676,email_338@example.com
5,Name_107,78.0,60000.0,2022-01-30,IT,,"Street 57, City 33",7468823405,email_665@example.com
6,Name_72,35.0,60000.0,2023-09-20,IT,6852.0,"Street 33, City 46",8163915990,email_330@example.com
7,Name_701,73.0,60000.0,2020-11-01,Finance,1089.0,"Street 43, City 18",4859909015,email_969@example.com
8,Name_21,18.0,60000.0,2024-11-16,IT,4775.0,"Street 62, City 28",4898625930,email_871@example.com
9,Name_615,42.0,50000.0,2024-04-18,IT,1775.0,,,
10,Name_122,44.0,50000.0,2022-04-06,HR,6368.0,"Street 97, City 17",4458940916,email_656@example.com
11,Name_467,24.0,70000.0,2017-04-24,Finance,4900.0,,,
12,Name_215,61.0,60000.0,2018-05-23,IT,8050.0,"Street 31, City 21",6600895568,email_58@example.com
13,Name_331,59.0,70000.0,2019-09-09,IT,7546.0,"Street 92, City 43",7994595507,email_188@example.com
14,Name_459,46.0,60000.0,2024-09-14,Unknown,2409.0,"Street 3, City 7",3834224434,email_336@example.com
15,Name_88,48.0,60000.0,2019-09-28,IT,5030.0,"Street 12, City 25",6306693099,email_933@example.com
16,Name_373,61.0,60000.0,2024-01-11,HR,2172.0,"Street 34, City 11",2278889676,email_535@example.com
17,Name_100,60.0,60000.0,2021-06-16,IT,7779.0,"Street 91, City 33",1097027021,email_722@example.com
18,Name_872,53.0,60000.0,,IT,9387.0,"Street 71, City 20",4687983899,email_82@example.com
19,Name_664,36.0,50000.0,2023-04-21,Marketing,,"Street 6, City 11",7906839295,email_188@example.com
20,Name_131,23.0,70000.0,2022-01-21,IT,3003.0,"Street 5, City 42",6690982136,email_353@example.com
21,Name_662,42.0,60000.0,2020-10-16,Finance,,"Street 12, City 34",2179608969,email_138@example.com
22,Name_309,48.0,70000.0,2018-08-12,Marketing,5219.0,"Street 23, City 9",7562054798,email_114@example.com
23,Name_770,26.0,60000.0,2017-03-12,Finance,6888.0,"Street 34, City 1",5295880102,email_273@example.com
24,Name_344,37.0,70000.0,2020-09-24,Finance,5230.0,"Street 1, City 1",4839543129,email_486@example.com
25,Name_492,27.0,60000.0,2023-11-21,HR,5196.0,,,
26,Name_414,54.0,60000.0,,IT,2907.0,"Street 10, City 12",8356457388,email_236@example.com
27,Name_806,44.0,60000.0,2017-06-27,Finance,2815.0,"Street 30, City 15",9399775094,email_285@example.com
28,Name_386,30.0,70000.0,2018-01-05,IT,,"Street 31, City 28",4474658229,email_698@example.com
29,Name_192,58.0,70000.0,2021-06-15,IT,3054.0,"Street 81, City 41",3891338524,email_334@example.com
30,Name_956,19.0,60000.0,,HR,8638.0,"Street 67, City 18",8373137285,email_784@example.com
31,Name_277,67.0,70000.0,2021-05-24,HR,5477.0,"Street 91, City 32",9213897129,email_839@example.com
32,Name_161,38.0,50000.0,2020-08-13,Finance,5998.0,"Street 95, City 9",4494221236,email_22@example.com
33,Name_460,50.0,70000.0,2024-11-29,Finance,1551.0,"Street 50, City 42",5535195477,email_614@example.com
34,Name_314,41.0,60000.0,2019-11-22,Marketing,8769.0,"Street 52, City 50",5444717611,email_836@example.com
35,Name_22,70.0,50000.0,2018-01-17,IT,4939.0,,,
36,Name_253,61.0,50000.0,2023-11-15,IT,3006.0,"Street 75, City 14",4270849859,email_166@example.com
37,Name_748,59.0,70000.0,,HR,1703.0,,,
38,Name_857,51.0,60000.0,2022-06-20,HR,6391.0,"Street 23, City 24",8328752284,email_388@example.com
39,Name_561,77.0,60000.0,2017-10-03,Finance,2456.0,,,
40,Name_475,26.0,60000.0,2018-02-14,Marketing,4413.0,"Street 89, City 13",2721859788,email_208@example.com
41,Name_59,19.0,50000.0,,Marketing,4285.0,"Street 76, City 10",1865351037,email_168@example.com
42,Name_511,72.0,60000.0,2025-05-22,HR,2733.0,"Street 58, City 32",1765291704,email_243@example.com
43,Name_682,73.0,50000.0,2023-03-11,HR,9183.0,"Street 53, City 12",4840616411,email_738@example.com
44,Name_476,47.0,60000.0,2024-01-24,Marketing,9203.0,"Street 95, City 47",1041669153,email_231@example.com
45,Name_700,48.0,60000.0,2017-02-08,Marketing,2592.0,"Street 7, City 8",2555634346,email_953@example.com
46,Name_976,63.0,70000.0,2020-01-25,Finance,9902.0,,,
47,Name_783,28.0,60000.0,2021-01-26,Marketing,5176.0,"Street 95, City 22",8999179762,email_994@example.com
48,Name_190,72.0,50000.0,2021-12-30,IT,6875.0,"Street 84, City 32",9077042860,email_510@example.com
49,Name_958,60.0,70000.0,2025-02-08,Marketing,8766.0,"Street 19, City 32",1782540362,email_821@example.com
50,Name_687,34.0,50000.0,2017-05-12,Unknown,6581.0,"Street 63, City 30",3872661626,email_85@example.com
51,Name_958,53.0,70000.0,2019-07-20,Marketing,2958.0,"Street 65, City 1",8512829984,email_544@example.com
52,Name_563,30.0,50000.0,,HR,6695.0,"Street 68, City 21",3296949801,email_55@example.com
53,Name_876,24.0,60000.0,2023-01-25,HR,8589.0,"Street 86, City 12",9751692271,email_91@example.com
54,Name_567,33.0,60000.0,2016-10-24,Unknown,9178.0,"Street 30, City 20",4115690841,email_426@example.com
55,Name_244,50.0,60000.0,,IT,3186.0,"Street 59, City 32",8622008308,email_416@example.com
56,Name_832,62.0,60000.0,2023-09-11,Marketing,,"Street 5, City 29",3195555356,email_460@example.com
