id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,,"{""address"": ""Street 45, City 22"", ""phone"": ""1427452515"", ""email"": ""email_568@example.com""}",Marketing,7596.0
2,Name_436,62.0,50000,2018-04-30,,Marketing,3817.0
3,Name_861,61.0,60000,2022-06-08,"{""address"": ""Street 54, City 1"", ""phone"": ""9394653353"", ""email"": ""email_386@example.com""}",HR,9446.0
4,Name_271,36.0,70000,2016-02-06,"{""address"": ""Street 59, City 13"", ""phone"": ""5883486342"", ""email"": ""email_930@example.com""}",,3498.0
5,Name_107,78.0,60000,2019-07-01,"{""address"": ""Street 90, City 37"", ""phone"": ""4667660580"", ""email"": ""email_481@example.com""}",IT,8833.0
6,Name_72,35.0,,2020-01-27,,IT,5562.0
7,Name_701,73.0,60000,2019-04-27,"{""address"": ""Street 33, City 26"", ""phone"": ""2265440543"", ""email"": ""email_219@example.com""}",Finance,8907.0
8,Name_21,18.0,60000,2015-12-21,,IT,4336.0
9,Name_615,42.0,50000,2016-08-14,"{""address"": ""Street 49, City 18"", ""phone"": ""1936958957"", ""email"": ""email_892@example.com""}",IT,8994.0
10,Name_122,44.0,50000,,"{""address"": ""Street 62, City 18"", ""phone"": ""2122996818"", ""email"": ""email_287@example.com""}",HR,9325.0
11,Name_467,24.0,70000,2017-07-03,"{""address"": ""Street 36, City 26"", ""phone"": ""3922241174"", ""email"": ""email_671@example.com""}",Finance,5047.0
12,Name_215,61.0,,2019-08-14,"{""address"": ""Street 95, City 13"", ""phone"": ""2090195416"", ""email"": ""email_785@example.com""}",IT,9102.0
13,Name_331,59.0,70000,2019-09-13,,IT,8522.0
14,Name_459,46.0,,2015-12-14,"{""address"": ""Street 56, City 37"", ""phone"": ""7849510531"", ""email"": ""email_775@example.com""}",,1623.0
15,Name_88,48.0,,2023-01-27,"{""address"": ""Street 19, City 10"", ""phone"": ""2615783369"", ""email"": ""email_63@example.com""}",IT,1732.0
16,Name_373,61.0,,2016-10-21,"{""address"": ""Street 69, City 42"", ""phone"": ""7642499305"", ""email"": ""email_668@example.com""}",HR,2912.0
17,Name_100,60.0,60000,2019-01-29,"{""address"": ""Street 69, City 1"", ""phone"": ""7806476991"", ""email"": ""email_499@example.com""}",IT,3697.0
18,Name_872,53.0,60000,2016-10-17,"{""address"": ""Street 47, City 24"", ""phone"": ""2180263990"", ""email"": ""email_268@example.com""}",IT,8541.0
19,Name_664,36.0,50000,,"{""address"": ""Street 1, City 27"", ""phone"": ""5133000703"", ""email"": ""email_314@example.com""}",Marketing,
20,Name_131,23.0,70000,2024-12-09,"{""address"": ""Street 45, City 42"", ""phone"": ""4490481333"", ""email"": ""email_919@example.com""}",IT,1463.0
21,Name_662,42.0,60000,2023-07-12,"{""address"": ""Street 81, City 44"", ""phone"": ""5814031382"", ""email"": ""email_911@example.com""}",Finance,5972.0
22,Name_309,48.0,70000,,"{""address"": ""Street 50, City 6"", ""phone"": ""3633791338"", ""email"": ""email_833@example.com""}",Marketing,8000.0
