id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2024-09-07,"{""address"": ""Street 50, City 39"", ""phone"": ""8702681805"", ""email"": ""email_742@example.com""}",Marketing,4319.0
2,Name_436,62.0,50000,2021-09-09,"{""address"": ""Street 79, City 37"", ""phone"": ""8212977467"", ""email"": ""email_486@example.com""}",Marketing,4661.0
3,Name_861,61.0,60000,2018-08-12,"{""address"": ""Street 77, City 3"", ""phone"": ""9846890488"", ""email"": ""email_727@example.com""}",HR,1975.0
4,Name_271,36.0,70000,,"{""address"": ""Street 91, City 19"", ""phone"": ""4217678676"", ""email"": ""email_338@example.com""}",,4327.0
5,Name_107,78.0,60000,2022-01-30,"{""address"": ""Street 57, City 33"", ""phone"": ""7468823405"", ""email"": ""email_665@example.com""}",IT,
6,Name_72,35.0,,2023-09-20,"{""address"": ""Street 33, City 46"", ""phone"": ""8163915990"", ""email"": ""email_330@example.com""}",IT,6852.0
7,Name_701,73.0,60000,2020-11-01,"{""address"": ""Street 43, City 18"", ""phone"": ""4859909015"", ""email"": ""email_969@example.com""}",Finance,1089.0
8,Name_21,18.0,60000,2024-11-16,"{""address"": ""Street 62, City 28"", ""phone"": ""4898625930"", ""email"": ""email_871@example.com""}",IT,4775.0
9,Name_615,42.0,50000,2024-04-18,,IT,1775.0
10,Name_122,44.0,50000,2022-04-06,"{""address"": ""Street 97, City 17"", ""phone"": ""4458940916"", ""email"": ""email_656@example.com""}",HR,6368.0
11,Name_467,24.0,70000,2017-04-24,,Finance,4900.0
12,Name_215,61.0,,2018-05-23,"{""address"": ""Street 31, City 21"", ""phone"": ""6600895568"", ""email"": ""email_58@example.com""}",IT,8050.0
13,Name_331,59.0,70000,2019-09-09,"{""address"": ""Street 92, City 43"", ""phone"": ""7994595507"", ""email"": ""email_188@example.com""}",IT,7546.0
14,Name_459,46.0,,2024-09-14,"{""address"": ""Street 3, City 7"", ""phone"": ""3834224434"", ""email"": ""email_336@example.com""}",,2409.0
15,Name_88,48.0,,2019-09-28,"{""address"": ""Street 12, City 25"", ""phone"": ""6306693099"", ""email"": ""email_933@example.com""}",IT,5030.0
16,Name_373,61.0,,2024-01-11,"{""address"": ""Street 34, City 11"", ""phone"": ""2278889676"", ""email"": ""email_535@example.com""}",HR,2172.0
17,Name_100,60.0,60000,2021-06-16,"{""address"": ""Street 91, City 33"", ""phone"": ""1097027021"", ""email"": ""email_722@example.com""}",IT,7779.0
18,Name_872,53.0,60000,,"{""address"": ""Street 71, City 20"", ""phone"": ""4687983899"", ""email"": ""email_82@example.com""}",IT,9387.0
19,Name_664,36.0,50000,2023-04-21,"{""address"": ""Street 6, City 11"", ""phone"": ""7906839295"", ""email"": ""email_188@example.com""}",Marketing,
20,Name_131,23.0,70000,2022-01-21,"{""address"": ""Street 5, City 42"", ""phone"": ""6690982136"", ""email"": ""email_353@example.com""}",IT,3003.0
21,Name_662,42.0,60000,2020-10-16,"{""address"": ""Street 12, City 34"", ""phone"": ""2179608969"", ""email"": ""email_138@example.com""}",Finance,
22,Name_309,48.0,70000,2018-08-12,"{""address"": ""Street 23, City 9"", ""phone"": ""7562054798"", ""email"": ""email_114@example.com""}",Marketing,5219.0
23,Name_770,26.0,60000,2017-03-12,"{""address"": ""Street 34, City 1"", ""phone"": ""5295880102"", ""email"": ""email_273@example.com""}",Finance,6888.0
24,Name_344,37.0,70000,2020-09-24,"{""address"": ""Street 1, City 1"", ""phone"": ""4839543129"", ""email"": ""email_486@example.com""}",Finance,5230.0
25,Name_492,27.0,,2023-11-21,,HR,5196.0
26,Name_414,54.0,,,"{""address"": ""Street 10, City 12"", ""phone"": ""8356457388"", ""email"": ""email_236@example.com""}",IT,2907.0
27,Name_806,44.0,60000,2017-06-27,"{""address"": ""Street 30, City 15"", ""phone"": ""9399775094"", ""email"": ""email_285@example.com""}",Finance,2815.0
28,Name_386,30.0,70000,2018-01-05,"{""address"": ""Street 31, City 28"", ""phone"": ""4474658229"", ""email"": ""email_698@example.com""}",IT,
29,Name_192,58.0,70000,2021-06-15,"{""address"": ""Street 81, City 41"", ""phone"": ""3891338524"", ""email"": ""email_334@example.com""}",IT,3054.0
30,Name_956,19.0,,,"{""address"": ""Street 67, City 18"", ""phone"": ""8373137285"", ""email"": ""email_784@example.com""}",HR,8638.0
31,Name_277,67.0,70000,2021-05-24,"{""address"": ""Street 91, City 32"", ""phone"": ""9213897129"", ""email"": ""email_839@example.com""}",HR,5477.0
32,Name_161,38.0,50000,2020-08-13,"{""address"": ""Street 95, City 9"", ""phone"": ""4494221236"", ""email"": ""email_22@example.com""}",Finance,5998.0
