id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category,age_group
1,Name_103,77.0,60000.0,2024-03-31,Marketing,6842.0,"Street 5, City 17",3125396991.0,email_268@example.com,17,medium,Experienced
2,Name_436,62.0,50000.0,2017-09-10,Marketing,4001.0,,,,3,low,Experienced
3,Name_861,61.0,60000.0,2021-06-19,HR,7335.0,"Street 25, City 41",2329140322.0,email_523@example.com,18,medium,Experienced
4,Name_271,36.0,70000.0,2024-08-24,Unknown,5666.0,"Street 96, City 50",8091272320.0,email_954@example.com,18,medium,Mid Career
5,Name_107,78.0,60000.0,2025-02-15,IT,9527.0,"Street 41, City 45",5788036047.0,email_851@example.com,18,medium,Experienced
6,Name_72,35.0,60000.0,2021-04-14,IT,7317.0,"Street 6, City 4",2327015617.0,email_398@example.com,16,medium,Early Career
7,Name_701,73.0,60000.0,2019-11-29,Finance,6573.0,"Street 49, City 2",3436832582.0,email_605@example.com,17,medium,Experienced
8,Name_21,18.0,60000.0,2015-08-01,IT,9386.0,"Street 68, City 15",2110634507.0,email_103@example.com,18,medium,Young
9,Name_615,42.0,50000.0,2017-05-24,IT,8458.0,"Street 5, City 47",2350632351.0,email_7@example.com,17,low,Mid Career
10,Name_122,44.0,50000.0,2021-05-31,HR,8482.0,"Street 1, City 16",7656821024.0,email_774@example.com,17,low,Mid Career
11,Name_467,24.0,70000.0,2020-05-20,Finance,4391.0,"Street 35, City 26",4319711441.0,email_843@example.com,18,medium,Young
12,Name_215,61.0,60000.0,2018-05-02,IT,6182.0,"Street 44, City 49",6398482706.0,email_485@example.com,18,medium,Experienced
13,Name_331,59.0,70000.0,2018-10-28,IT,8666.0,,,,3,medium,Experienced
14,Name_459,46.0,60000.0,2024-05-28,Unknown,,"Street 53, City 50",3592425597.0,email_383@example.com,18,medium,Senior
15,Name_88,48.0,60000.0,2024-03-11,IT,8156.0,,,,3,medium,Senior
16,Name_373,61.0,60000.0,2024-12-31,HR,7082.0,"Street 100, City 23",6610734558.0,email_389@example.com,19,medium,Experienced
17,Name_100,60.0,60000.0,2019-01-09,IT,6406.0,,,,3,medium,Experienced
18,Name_872,53.0,60000.0,2020-06-21,IT,7257.0,"Street 95, City 2",6856013339.0,email_80@example.com,17,medium,Senior
19,Name_664,36.0,50000.0,2016-02-13,Marketing,2622.0,"Street 13, City 10",7695066532.0,email_622@example.com,18,low,Mid Career
20,Name_131,23.0,70000.0,2020-11-28,IT,,"Street 36, City 49",8630206890.0,email_249@example.com,18,medium,Young
21,Name_662,42.0,60000.0,2018-01-11,Finance,4299.0,,,,3,medium,Mid Career
22,Name_309,48.0,70000.0,2025-06-18,Marketing,2585.0,"Street 37, City 35",2732037385.0,email_896@example.com,18,medium,Senior
