id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2024-03-31,Marketing,6842.0,"Street 5, City 17",3125396991,email_268@example.com
2,Name_436,62.0,50000.0,2017-09-10,Marketing,4001.0,,,
3,Name_861,61.0,60000.0,2021-06-19,HR,7335.0,"Street 25, City 41",2329140322,email_523@example.com
4,Name_271,36.0,70000.0,2024-08-24,Unknown,5666.0,"Street 96, City 50",8091272320,email_954@example.com
5,Name_107,78.0,60000.0,2025-02-15,IT,9527.0,"Street 41, City 45",5788036047,email_851@example.com
6,Name_72,35.0,60000.0,2021-04-14,IT,7317.0,"Street 6, City 4",2327015617,email_398@example.com
7,Name_701,73.0,60000.0,2019-11-29,Finance,6573.0,"Street 49, City 2",3436832582,email_605@example.com
8,Name_21,18.0,60000.0,2015-08-01,IT,9386.0,"Street 68, City 15",2110634507,email_103@example.com
9,Name_615,42.0,50000.0,2017-05-24,IT,8458.0,"Street 5, City 47",2350632351,email_7@example.com
10,Name_122,44.0,50000.0,2021-05-31,HR,8482.0,"Street 1, City 16",7656821024,email_774@example.com
11,Name_467,24.0,70000.0,2020-05-20,Finance,4391.0,"Street 35, City 26",4319711441,email_843@example.com
12,Name_215,61.0,60000.0,2018-05-02,IT,6182.0,"Street 44, City 49",6398482706,email_485@example.com
13,Name_331,59.0,70000.0,2018-10-28,IT,8666.0,,,
14,Name_459,46.0,60000.0,2024-05-28,Unknown,,"Street 53, City 50",3592425597,email_383@example.com
15,Name_88,48.0,60000.0,2024-03-11,IT,8156.0,,,
16,Name_373,61.0,60000.0,2024-12-31,HR,7082.0,"Street 100, City 23",6610734558,email_389@example.com
17,Name_100,60.0,60000.0,2019-01-09,IT,6406.0,,,
18,Name_872,53.0,60000.0,2020-06-21,IT,7257.0,"Street 95, City 2",6856013339,email_80@example.com
19,Name_664,36.0,50000.0,2016-02-13,Marketing,2622.0,"Street 13, City 10",7695066532,email_622@example.com
20,Name_131,23.0,70000.0,2020-11-28,IT,,"Street 36, City 49",8630206890,email_249@example.com
21,Name_662,42.0,60000.0,2018-01-11,Finance,4299.0,,,
22,Name_309,48.0,70000.0,2025-06-18,Marketing,2585.0,"Street 37, City 35",2732037385,email_896@example.com
23,Name_770,26.0,60000.0,2015-10-18,Finance,5719.0,"Street 63, City 28",4629759341,email_190@example.com
24,Name_344,37.0,70000.0,2023-07-06,Finance,6954.0,,,
25,Name_492,27.0,60000.0,2023-08-29,HR,6327.0,"Street 100, City 27",4362537377,email_951@example.com
26,Name_414,54.0,60000.0,2024-05-18,IT,6762.0,"Street 68, City 45",8752027746,email_35@example.com
27,Name_806,44.0,60000.0,2021-08-16,Finance,7928.0,"Street 47, City 15",7004032214,email_989@example.com
28,Name_386,30.0,70000.0,2016-11-08,IT,4015.0,"Street 20, City 7",2157646607,email_92@example.com
29,Name_192,58.0,70000.0,2016-11-05,IT,8725.0,"Street 89, City 32",3153785679,email_898@example.com
30,Name_956,19.0,60000.0,2023-10-20,HR,5089.0,"Street 40, City 12",5484424983,email_679@example.com
31,Name_277,67.0,70000.0,2022-04-19,HR,8022.0,"Street 74, City 15",2369376264,email_377@example.com
32,Name_161,38.0,50000.0,2020-05-09,Finance,2823.0,"Street 13, City 33",3038777808,email_322@example.com
33,Name_460,50.0,70000.0,2016-04-20,Finance,6626.0,"Street 75, City 26",5792732110,email_884@example.com
34,Name_314,41.0,60000.0,2022-05-24,Marketing,,"Street 76, City 24",2198814054,email_227@example.com
35,Name_22,70.0,50000.0,2021-07-30,IT,7615.0,"Street 93, City 42",1169062814,email_825@example.com
36,Name_253,61.0,50000.0,2016-05-30,IT,6286.0,,,
37,Name_748,59.0,70000.0,2024-05-07,HR,4914.0,"Street 100, City 7",7303227530,email_548@example.com
38,Name_857,51.0,60000.0,2023-06-27,HR,5925.0,,,
39,Name_561,77.0,60000.0,2018-09-17,Finance,6808.0,"Street 45, City 21",8796678023,email_857@example.com
40,Name_475,26.0,60000.0,2022-03-06,Marketing,3574.0,"Street 83, City 11",6467415220,email_984@example.com
41,Name_59,19.0,50000.0,2019-09-24,Marketing,6860.0,"Street 60, City 30",5121507082,email_901@example.com
42,Name_511,72.0,60000.0,2018-02-22,HR,5560.0,"Street 33, City 23",4173233406,email_778@example.com
43,Name_682,73.0,50000.0,2021-04-21,HR,9140.0,"Street 75, City 23",5774757516,email_881@example.com
44,Name_476,47.0,60000.0,,Marketing,2300.0,"Street 5, City 2",1773231269,email_270@example.com
45,Name_700,48.0,60000.0,,Marketing,8398.0,"Street 84, City 20",5009643144,email_130@example.com
46,Name_976,63.0,70000.0,2019-05-31,Finance,3725.0,,,
47,Name_783,28.0,60000.0,2017-10-17,Marketing,3005.0,"Street 3, City 45",8087413253,email_975@example.com
48,Name_190,72.0,50000.0,2016-05-21,IT,2936.0,"Street 87, City 20",6535393139,email_391@example.com
49,Name_958,60.0,70000.0,2021-07-18,Marketing,6367.0,"Street 48, City 49",3383462185,email_608@example.com
50,Name_687,34.0,50000.0,2020-01-31,Unknown,4360.0,"Street 15, City 21",1337159299,email_96@example.com
51,Name_958,53.0,70000.0,2024-06-06,Marketing,3853.0,"Street 66, City 22",4768309492,email_723@example.com
52,Name_563,30.0,50000.0,2018-07-31,HR,8740.0,"Street 86, City 35",5809291349,email_572@example.com
53,Name_876,24.0,60000.0,2022-10-30,HR,4166.0,"Street 25, City 44",3434994027,email_592@example.com
54,Name_567,33.0,60000.0,2023-09-20,Unknown,8328.0,"Street 25, City 2",8476805777,email_9@example.com
55,Name_244,50.0,60000.0,2020-07-09,IT,7059.0,"Street 59, City 33",4217255582,email_873@example.com
56,Name_832,62.0,60000.0,,Marketing,9389.0,"Street 47, City 23",4689359891,email_887@example.com
57,Name_505,18.0,60000.0,2023-03-12,Marketing,6542.0,"Street 91, City 38",1711897711,email_331@example.com
58,Name_131,28.0,70000.0,2018-12-14,Unknown,2614.0,"Street 21, City 12",4437950121,email_243@example.com
59,Name_485,23.0,60000.0,2016-01-30,Finance,9412.0,"Street 78, City 27",4054020991,email_249@example.com
60,Name_819,37.0,60000.0,2025-03-04,Finance,7162.0,"Street 74, City 30",9319388728,email_553@example.com
61,Name_647,52.0,50000.0,2016-10-31,IT,6115.0,"Street 57, City 7",7714419146,email_267@example.com
62,Name_21,61.0,60000.0,2019-04-14,Marketing,7233.0,"Street 1, City 23",5931951389,email_408@example.com
63,Name_841,54.0,50000.0,2019-07-14,Marketing,6352.0,,,
64,Name_167,58.0,70000.0,2022-12-21,Marketing,,"Street 57, City 42",2923187646,email_667@example.com
65,Name_274,43.0,60000.0,2024-08-05,HR,2019.0,"Street 38, City 2",2730526356,email_891@example.com
66,Name_388,75.0,50000.0,2018-08-11,Finance,3415.0,"Street 31, City 18",7201792734,email_70@example.com
67,Name_601,29.0,70000.0,2025-04-21,Unknown,9334.0,"Street 37, City 1",7150217841,email_957@example.com
68,Name_316,79.0,60000.0,2024-11-07,HR,6371.0,"Street 43, City 3",6439860982,email_34@example.com
69,Name_14,47.0,60000.0,2020-08-23,HR,9935.0,"Street 64, City 38",5639475719,email_456@example.com
70,Name_242,45.0,70000.0,2017-03-13,Finance,7399.0,"Street 79, City 20",5812148273,email_69@example.com
71,Name_777,44.0,60000.0,2015-12-28,Marketing,,"Street 36, City 3",5970047009,email_134@example.com
72,Name_346,59.0,70000.0,2024-09-18,IT,9902.0,"Street 14, City 37",7155835388,email_639@example.com
73,Name_565,36.0,60000.0,2016-01-04,Unknown,2577.0,"Street 59, City 21",5141146280,email_225@example.com
74,Name_898,22.0,50000.0,2021-07-04,Finance,6387.0,,,
75,Name_340,75.0,50000.0,2023-09-29,IT,7846.0,"Street 58, City 20",7314411568,email_41@example.com
76,Name_92,22.0,50000.0,2020-02-01,Finance,5657.0,"Street 30, City 18",1995940398,email_141@example.com
