id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2024-03-31,"{""address"": ""Street 5, City 17"", ""phone"": ""3125396991"", ""email"": ""email_268@example.com""}",Marketing,6842.0
2,Name_436,62.0,50000,2017-09-10,,Marketing,4001.0
3,Name_861,61.0,60000,2021-06-19,"{""address"": ""Street 25, City 41"", ""phone"": ""2329140322"", ""email"": ""email_523@example.com""}",HR,7335.0
4,Name_271,36.0,70000,2024-08-24,"{""address"": ""Street 96, City 50"", ""phone"": ""8091272320"", ""email"": ""email_954@example.com""}",,5666.0
5,Name_107,78.0,60000,2025-02-15,"{""address"": ""Street 41, City 45"", ""phone"": ""5788036047"", ""email"": ""email_851@example.com""}",IT,9527.0
6,Name_72,35.0,,2021-04-14,"{""address"": ""Street 6, City 4"", ""phone"": ""2327015617"", ""email"": ""email_398@example.com""}",IT,7317.0
7,Name_701,73.0,60000,2019-11-29,"{""address"": ""Street 49, City 2"", ""phone"": ""3436832582"", ""email"": ""email_605@example.com""}",Finance,6573.0
8,Name_21,18.0,60000,2015-08-01,"{""address"": ""Street 68, City 15"", ""phone"": ""2110634507"", ""email"": ""email_103@example.com""}",IT,9386.0
9,Name_615,42.0,50000,2017-05-24,"{""address"": ""Street 5, City 47"", ""phone"": ""2350632351"", ""email"": ""email_7@example.com""}",IT,8458.0
10,Name_122,44.0,50000,2021-05-31,"{""address"": ""Street 1, City 16"", ""phone"": ""7656821024"", ""email"": ""email_774@example.com""}",HR,8482.0
11,Name_467,24.0,70000,2020-05-20,"{""address"": ""Street 35, City 26"", ""phone"": ""4319711441"", ""email"": ""email_843@example.com""}",Finance,4391.0
12,Name_215,61.0,,2018-05-02,"{""address"": ""Street 44, City 49"", ""phone"": ""6398482706"", ""email"": ""email_485@example.com""}",IT,6182.0
13,Name_331,59.0,70000,2018-10-28,,IT,8666.0
14,Name_459,46.0,,2024-05-28,"{""address"": ""Street 53, City 50"", ""phone"": ""3592425597"", ""email"": ""email_383@example.com""}",,
15,Name_88,48.0,,2024-03-11,,IT,8156.0
16,Name_373,61.0,,2024-12-31,"{""address"": ""Street 100, City 23"", ""phone"": ""6610734558"", ""email"": ""email_389@example.com""}",HR,7082.0
17,Name_100,60.0,60000,2019-01-09,,IT,6406.0
18,Name_872,53.0,60000,2020-06-21,"{""address"": ""Street 95, City 2"", ""phone"": ""6856013339"", ""email"": ""email_80@example.com""}",IT,7257.0
19,Name_664,36.0,50000,2016-02-13,"{""address"": ""Street 13, City 10"", ""phone"": ""7695066532"", ""email"": ""email_622@example.com""}",Marketing,2622.0
20,Name_131,23.0,70000,2020-11-28,"{""address"": ""Street 36, City 49"", ""phone"": ""8630206890"", ""email"": ""email_249@example.com""}",IT,
21,Name_662,42.0,60000,2018-01-11,,Finance,4299.0
22,Name_309,48.0,70000,2025-06-18,"{""address"": ""Street 37, City 35"", ""phone"": ""2732037385"", ""email"": ""email_896@example.com""}",Marketing,2585.0
23,Name_770,26.0,60000,2015-10-18,"{""address"": ""Street 63, City 28"", ""phone"": ""4629759341"", ""email"": ""email_190@example.com""}",Finance,5719.0
24,Name_344,37.0,70000,2023-07-06,,Finance,6954.0
25,Name_492,27.0,,2023-08-29,"{""address"": ""Street 100, City 27"", ""phone"": ""4362537377"", ""email"": ""email_951@example.com""}",HR,6327.0
26,Name_414,54.0,,2024-05-18,"{""address"": ""Street 68, City 45"", ""phone"": ""8752027746"", ""email"": ""email_35@example.com""}",IT,6762.0
27,Name_806,44.0,60000,2021-08-16,"{""address"": ""Street 47, City 15"", ""phone"": ""7004032214"", ""email"": ""email_989@example.com""}",Finance,7928.0
28,Name_386,30.0,70000,2016-11-08,"{""address"": ""Street 20, City 7"", ""phone"": ""2157646607"", ""email"": ""email_92@example.com""}",IT,4015.0
29,Name_192,58.0,70000,2016-11-05,"{""address"": ""Street 89, City 32"", ""phone"": ""3153785679"", ""email"": ""email_898@example.com""}",IT,8725.0
30,Name_956,19.0,,2023-10-20,"{""address"": ""Street 40, City 12"", ""phone"": ""5484424983"", ""email"": ""email_679@example.com""}",HR,5089.0
31,Name_277,67.0,70000,2022-04-19,"{""address"": ""Street 74, City 15"", ""phone"": ""2369376264"", ""email"": ""email_377@example.com""}",HR,8022.0
32,Name_161,38.0,50000,2020-05-09,"{""address"": ""Street 13, City 33"", ""phone"": ""3038777808"", ""email"": ""email_322@example.com""}",Finance,2823.0
33,Name_460,50.0,70000,2016-04-20,"{""address"": ""Street 75, City 26"", ""phone"": ""5792732110"", ""email"": ""email_884@example.com""}",Finance,6626.0
34,Name_314,41.0,,2022-05-24,"{""address"": ""Street 76, City 24"", ""phone"": ""2198814054"", ""email"": ""email_227@example.com""}",Marketing,
35,Name_22,70.0,50000,2021-07-30,"{""address"": ""Street 93, City 42"", ""phone"": ""1169062814"", ""email"": ""email_825@example.com""}",IT,7615.0
36,Name_253,61.0,50000,2016-05-30,,IT,6286.0
37,Name_748,59.0,70000,2024-05-07,"{""address"": ""Street 100, City 7"", ""phone"": ""7303227530"", ""email"": ""email_548@example.com""}",HR,4914.0
38,Name_857,51.0,,2023-06-27,,HR,5925.0
39,Name_561,77.0,,2018-09-17,"{""address"": ""Street 45, City 21"", ""phone"": ""8796678023"", ""email"": ""email_857@example.com""}",Finance,6808.0
40,Name_475,26.0,,2022-03-06,"{""address"": ""Street 83, City 11"", ""phone"": ""6467415220"", ""email"": ""email_984@example.com""}",Marketing,3574.0
41,Name_59,19.0,50000,2019-09-24,"{""address"": ""Street 60, City 30"", ""phone"": ""5121507082"", ""email"": ""email_901@example.com""}",Marketing,6860.0
42,Name_511,72.0,,2018-02-22,"{""address"": ""Street 33, City 23"", ""phone"": ""4173233406"", ""email"": ""email_778@example.com""}",HR,5560.0
43,Name_682,73.0,50000,2021-04-21,"{""address"": ""Street 75, City 23"", ""phone"": ""5774757516"", ""email"": ""email_881@example.com""}",HR,9140.0
44,Name_476,47.0,,,"{""address"": ""Street 5, City 2"", ""phone"": ""1773231269"", ""email"": ""email_270@example.com""}",Marketing,2300.0
45,Name_700,,60000,,"{""address"": ""Street 84, City 20"", ""phone"": ""5009643144"", ""email"": ""email_130@example.com""}",Marketing,8398.0
46,Name_976,63.0,70000,2019-05-31,,Finance,3725.0
47,Name_783,28.0,,2017-10-17,"{""address"": ""Street 3, City 45"", ""phone"": ""8087413253"", ""email"": ""email_975@example.com""}",Marketing,3005.0
48,Name_190,72.0,50000,2016-05-21,"{""address"": ""Street 87, City 20"", ""phone"": ""6535393139"", ""email"": ""email_391@example.com""}",IT,2936.0
