id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2023-05-11,"{""address"": ""Street 51, City 12"", ""phone"": ""7323475298"", ""email"": ""email_140@example.com""}",Marketing,8767.0
2,Name_436,62.0,50000,2021-04-22,"{""address"": ""Street 12, City 6"", ""phone"": ""9633478479"", ""email"": ""email_38@example.com""}",Marketing,7553.0
3,Name_861,61.0,60000,2022-04-18,,HR,6796.0
4,Name_271,36.0,70000,,"{""address"": ""Street 17, City 5"", ""phone"": ""8423075763"", ""email"": ""email_194@example.com""}",,8712.0
5,Name_107,78.0,60000,2017-06-17,"{""address"": ""Street 98, City 37"", ""phone"": ""8158889415"", ""email"": ""email_592@example.com""}",IT,3340.0
6,Name_72,35.0,,2019-11-22,"{""address"": ""Street 21, City 50"", ""phone"": ""8833851973"", ""email"": ""email_403@example.com""}",IT,
7,Name_701,73.0,60000,2022-11-28,"{""address"": ""Street 85, City 8"", ""phone"": ""8059849838"", ""email"": ""email_855@example.com""}",Finance,4939.0
8,Name_21,18.0,60000,2023-07-23,"{""address"": ""Street 55, City 22"", ""phone"": ""1945122151"", ""email"": ""email_153@example.com""}",IT,9299.0
9,Name_615,42.0,50000,2024-01-03,"{""address"": ""Street 22, City 22"", ""phone"": ""8649164288"", ""email"": ""email_281@example.com""}",IT,1337.0
10,Name_122,44.0,50000,2024-03-06,"{""address"": ""Street 78, City 16"", ""phone"": ""4501884731"", ""email"": ""email_67@example.com""}",HR,9691.0
11,Name_467,24.0,70000,2023-06-13,,Finance,
12,Name_215,61.0,,2024-03-25,"{""address"": ""Street 37, City 6"", ""phone"": ""3712100083"", ""email"": ""email_255@example.com""}",IT,9626.0
13,Name_331,59.0,70000,2016-02-23,"{""address"": ""Street 97, City 6"", ""phone"": ""9804237887"", ""email"": ""email_172@example.com""}",IT,6640.0
14,Name_459,46.0,,,"{""address"": ""Street 59, City 20"", ""phone"": ""5757006993"", ""email"": ""email_241@example.com""}",,2563.0
15,Name_88,48.0,,2016-03-28,"{""address"": ""Street 96, City 3"", ""phone"": ""2369883570"", ""email"": ""email_32@example.com""}",IT,3960.0
16,Name_373,61.0,,2022-10-03,,HR,4918.0
17,Name_100,60.0,60000,2018-01-07,,IT,1940.0
18,Name_872,53.0,60000,2020-12-26,"{""address"": ""Street 70, City 44"", ""phone"": ""9306751172"", ""email"": ""email_188@example.com""}",IT,9912.0
19,Name_664,36.0,50000,2022-07-26,"{""address"": ""Street 57, City 7"", ""phone"": ""3579562727"", ""email"": ""email_291@example.com""}",Marketing,2873.0
20,Name_131,23.0,70000,2021-08-05,"{""address"": ""Street 33, City 39"", ""phone"": ""4035564799"", ""email"": ""email_2@example.com""}",IT,7186.0
21,Name_662,42.0,60000,,"{""address"": ""Street 14, City 28"", ""phone"": ""5431403033"", ""email"": ""email_804@example.com""}",Finance,8614.0
22,Name_309,48.0,70000,,"{""address"": ""Street 29, City 12"", ""phone"": ""9916221074"", ""email"": ""email_829@example.com""}",Marketing,2228.0
23,Name_770,26.0,60000,2017-05-16,"{""address"": ""Street 8, City 17"", ""phone"": ""4123122735"", ""email"": ""email_88@example.com""}",Finance,3798.0
24,Name_344,37.0,70000,2023-02-28,"{""address"": ""Street 84, City 41"", ""phone"": ""5862644085"", ""email"": ""email_918@example.com""}",Finance,8729.0
25,Name_492,27.0,,2015-10-07,"{""address"": ""Street 74, City 46"", ""phone"": ""5717574291"", ""email"": ""email_435@example.com""}",HR,1665.0
26,Name_414,54.0,,2017-08-06,"{""address"": ""Street 59, City 14"", ""phone"": ""9832626430"", ""email"": ""email_39@example.com""}",IT,
27,Name_806,44.0,60000,2019-01-18,"{""address"": ""Street 22, City 11"", ""phone"": ""1874154914"", ""email"": ""email_6@example.com""}",Finance,5811.0
28,Name_386,30.0,70000,2020-11-24,,IT,
29,Name_192,58.0,70000,,,IT,5291.0
30,Name_956,19.0,,2022-03-20,"{""address"": ""Street 57, City 29"", ""phone"": ""9215689871"", ""email"": ""email_528@example.com""}",HR,3903.0
31,Name_277,67.0,70000,2021-11-03,"{""address"": ""Street 3, City 38"", ""phone"": ""3813527809"", ""email"": ""email_837@example.com""}",HR,6452.0
32,Name_161,38.0,50000,2020-05-03,,Finance,8945.0
33,Name_460,50.0,70000,2017-10-31,,Finance,
34,Name_314,41.0,,2024-03-09,"{""address"": ""Street 77, City 41"", ""phone"": ""4871090048"", ""email"": ""email_584@example.com""}",Marketing,6987.0
35,Name_22,70.0,50000,2022-06-28,"{""address"": ""Street 46, City 25"", ""phone"": ""4901709623"", ""email"": ""email_275@example.com""}",IT,2601.0
36,Name_253,61.0,50000,2023-12-21,"{""address"": ""Street 47, City 3"", ""phone"": ""1990181986"", ""email"": ""email_614@example.com""}",IT,9532.0
37,Name_748,59.0,70000,2020-06-14,"{""address"": ""Street 20, City 27"", ""phone"": ""4640058732"", ""email"": ""email_318@example.com""}",HR,7959.0
38,Name_857,51.0,,2018-04-29,"{""address"": ""Street 20, City 41"", ""phone"": ""9848587995"", ""email"": ""email_926@example.com""}",HR,2942.0
39,Name_561,77.0,,2023-04-08,,Finance,3797.0
40,Name_475,26.0,,2017-11-17,,Marketing,5474.0
41,Name_59,19.0,50000,2025-05-11,,Marketing,9108.0
42,Name_511,72.0,,,"{""address"": ""Street 51, City 46"", ""phone"": ""6667325523"", ""email"": ""email_804@example.com""}",HR,
43,Name_682,73.0,50000,2021-04-05,"{""address"": ""Street 85, City 5"", ""phone"": ""4741926851"", ""email"": ""email_612@example.com""}",HR,4217.0
