,customer_id,name,sex,state,age,is_married,active_since,event_time
0,C1,brooke williams,F,alabama,76,True,2019-03-09 14:43:26,2024-05-02T05:39:10.965Z
1,C2,jim reese,M,oregon,76,True,2016-07-24 05:21:59,2024-05-02T05:39:10.966Z
2,C3,adam walker phd,M,north dakota,40,True,2017-11-21 01:14:51,2024-05-02T05:39:10.967Z
3,C4,nathan roberts,M,louisiana,68,False,2016-11-16 04:44:55,2024-05-02T05:39:10.967Z
4,C5,richard adkins,M,idaho,62,False,2017-03-27 21:09:31,2024-05-02T05:39:10.968Z
5,C6,billy martinez,M,massachusetts,73,True,2017-01-22 21:38:30,2024-05-02T05:39:10.969Z
6,C7,mark torres,M,nevada,82,False,2018-03-14 09:10:13,2024-05-02T05:39:10.970Z
7,C8,patrick walter,M,wyoming,32,False,2018-08-04 22:19:14,2024-05-02T05:39:10.971Z
8,C9,andrew alvarado,M,idaho,86,False,2018-09-29 18:01:16,2024-05-02T05:39:10.972Z
9,C10,jason lee,M,kentucky,33,True,2018-12-29 09:26:11,2024-05-02T05:39:10.972Z
10,C11,rebecca king,F,nebraska,28,True,2017-03-05 21:19:59,2024-05-02T05:39:10.973Z
11,C12,crystal jenkins,F,maine,76,False,2018-08-13 12:32:41,2024-05-02T05:39:10.973Z
12,C13,karen wyatt,F,georgia,51,False,2018-12-06 00:37:45,2024-05-02T05:39:10.974Z
13,C14,emily ramirez,F,arizona,24,False,2019-08-14 16:20:46,2024-05-02T05:39:10.975Z
14,C15,kimberly mckinney,F,iowa,44,False,2016-11-09 20:29:47,2024-05-02T05:39:10.976Z
15,C16,ariana thomas,F,washington,60,False,2016-01-12 22:09:27,2024-05-02T05:39:10.976Z
16,C17,timothy mendez,M,illinois,47,False,2019-05-08 23:37:52,2024-05-02T05:39:10.977Z
17,C18,scott carroll,M,connecticut,57,True,2019-12-29 07:14:22,2024-05-02T05:39:10.978Z
18,C19,kevin campbell,M,wyoming,44,False,2018-09-29 15:34:07,2024-05-02T05:39:10.978Z
19,C20,kristina schmidt,F,ohio,40,False,2018-04-18 10:31:45,2024-05-02T05:39:10.979Z
20,C21,jennifer gallagher,F,alabama,36,False,2019-03-27 05:13:45,2024-05-02T05:39:10.980Z
21,C22,willie wright,M,arkansas,42,True,2017-01-29 12:07:22,2024-05-02T05:39:10.981Z
22,C23,derrick king,M,iowa,62,False,2019-08-20 11:35:35,2024-05-02T05:39:10.981Z
23,C24,brandy juarez,F,iowa,65,False,2017-02-19 14:11:03,2024-05-02T05:39:10.982Z
24,C25,william cook,M,wyoming,70,False,2019-08-19 09:06:59,2024-05-02T05:39:10.983Z
25,C26,shelly mitchell,F,vermont,44,True,2016-02-13 09:16:59,2024-05-02T05:39:10.983Z
26,C27,amy chen,F,maryland,69,False,2017-06-16 04:59:10,2024-05-02T05:39:10.984Z
27,C28,jose smith,M,new jersey,77,False,2018-02-25 23:31:05,2024-05-02T05:39:10.984Z
28,C29,michael johnson,M,georgia,89,False,2016-03-23 16:31:20,2024-05-02T05:39:10.985Z
29,C30,andrew rose,M,texas,53,True,2019-02-06 07:11:44,2024-05-02T05:39:10.985Z
30,C31,brandi campbell,F,missouri,66,True,2017-06-17 09:07:14,2024-05-02T05:39:10.986Z
31,C32,harold hill,M,louisiana,38,False,2016-02-04 11:45:08,2024-05-02T05:39:10.987Z
32,C33,james nelson,M,south carolina,33,False,2018-04-27 01:40:35,2024-05-02T05:39:10.987Z
33,C34,mr. david lee md,M,maine,41,False,2019-07-17 00:01:29,2024-05-02T05:39:10.988Z
34,C35,elizabeth foley dds,F,missouri,18,True,2019-02-04 14:52:31,2024-05-02T05:39:10.988Z
35,C36,carl lindsey,M,new hampshire,68,False,2019-03-09 04:01:48,2024-05-02T05:39:10.989Z
36,C37,timothy sanchez,M,colorado,36,False,2018-09-16 06:37:45,2024-05-02T05:39:10.990Z
37,C38,colleen palmer,F,new york,90,True,2016-08-19 17:21:29,2024-05-02T05:39:10.990Z
