id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2019-06-10,"{""address"": ""Street 42, City 11"", ""phone"": ""7796049566"", ""email"": ""email_597@example.com""}",Marketing,2296.0
2,Name_436,62.0,50000,2024-06-17,,Marketing,4839.0
3,Name_861,61.0,60000,2022-11-17,"{""address"": ""Street 47, City 14"", ""phone"": ""1281572444"", ""email"": ""email_55@example.com""}",HR,3189.0
4,Name_271,36.0,70000,2020-10-27,"{""address"": ""Street 78, City 47"", ""phone"": ""1548287896"", ""email"": ""email_9@example.com""}",,6446.0
5,Name_107,78.0,60000,,"{""address"": ""Street 65, City 15"", ""phone"": ""7391032607"", ""email"": ""email_712@example.com""}",IT,7662.0
6,Name_72,35.0,,2017-07-06,,IT,
7,Name_701,73.0,60000,2024-09-21,,Finance,6986.0
8,Name_21,18.0,60000,2019-09-01,"{""address"": ""Street 25, City 49"", ""phone"": ""6769339481"", ""email"": ""email_643@example.com""}",IT,
9,Name_615,42.0,50000,2025-03-21,"{""address"": ""Street 63, City 46"", ""phone"": ""2517786292"", ""email"": ""email_15@example.com""}",IT,8726.0
10,Name_122,44.0,50000,2024-07-17,"{""address"": ""Street 56, City 17"", ""phone"": ""4152763416"", ""email"": ""email_359@example.com""}",HR,6025.0
11,Name_467,24.0,70000,2021-01-05,"{""address"": ""Street 69, City 31"", ""phone"": ""2824662856"", ""email"": ""email_364@example.com""}",Finance,5399.0
12,Name_215,61.0,,2022-04-12,"{""address"": ""Street 62, City 19"", ""phone"": ""7825209099"", ""email"": ""email_959@example.com""}",IT,2076.0
13,Name_331,59.0,70000,2024-06-28,"{""address"": ""Street 58, City 29"", ""phone"": ""5797845633"", ""email"": ""email_722@example.com""}",IT,2825.0
14,Name_459,46.0,,2024-03-01,"{""address"": ""Street 40, City 47"", ""phone"": ""1325809609"", ""email"": ""email_335@example.com""}",,1741.0
15,Name_88,48.0,,2017-11-15,"{""address"": ""Street 20, City 1"", ""phone"": ""7119851991"", ""email"": ""email_694@example.com""}",IT,1534.0
16,Name_373,61.0,,2022-06-01,"{""address"": ""Street 92, City 1"", ""phone"": ""8107294079"", ""email"": ""email_706@example.com""}",HR,
17,Name_100,60.0,60000,2022-07-06,"{""address"": ""Street 42, City 10"", ""phone"": ""2597436846"", ""email"": ""email_21@example.com""}",IT,3031.0
18,Name_872,53.0,60000,2022-09-06,"{""address"": ""Street 98, City 43"", ""phone"": ""4706256843"", ""email"": ""email_52@example.com""}",IT,2539.0
19,Name_664,36.0,50000,2023-08-20,"{""address"": ""Street 29, City 46"", ""phone"": ""6916523229"", ""email"": ""email_358@example.com""}",Marketing,2129.0
20,Name_131,23.0,70000,2025-02-10,"{""address"": ""Street 73, City 8"", ""phone"": ""7319482377"", ""email"": ""email_405@example.com""}",IT,2167.0
21,Name_662,42.0,60000,2019-02-17,"{""address"": ""Street 63, City 25"", ""phone"": ""3953926167"", ""email"": ""email_717@example.com""}",Finance,7373.0
22,Name_309,48.0,70000,2021-06-09,"{""address"": ""Street 30, City 29"", ""phone"": ""2397685652"", ""email"": ""email_273@example.com""}",Marketing,
23,Name_770,26.0,60000,2016-01-15,"{""address"": ""Street 36, City 21"", ""phone"": ""3567324348"", ""email"": ""email_361@example.com""}",Finance,1132.0
24,Name_344,37.0,70000,2019-03-20,"{""address"": ""Street 87, City 34"", ""phone"": ""1351276598"", ""email"": ""email_335@example.com""}",Finance,4023.0
25,Name_492,27.0,,2023-12-10,"{""address"": ""Street 92, City 29"", ""phone"": ""8043059884"", ""email"": ""email_774@example.com""}",HR,7434.0
26,Name_414,54.0,,2018-11-17,"{""address"": ""Street 85, City 34"", ""phone"": ""3918339166"", ""email"": ""email_483@example.com""}",IT,1202.0
